pitch,yaw,fixation_start_time,fixation_end_time,fixation_duration,fixation_number,ppid,run,event.order,event.x,n_back,trialid
-2.06145440039777,8.3200442839503,1676039995.81573,1676039996.07658,260.8499527,1,9,2,3,6,FALSE,9_FALSE_6_3
-11.7364674754598,-41.5851048832566,1676039996.4896,1676039996.72871,239.10999298,2,9,2,3,6,FALSE,9_FALSE_6_3
-3.29754399831643,8.95997129603533,1676039997.83774,1676039997.98959,151.84998512,3,9,2,3,6,FALSE,9_FALSE_6_3
0.873130383999862,-19.7948037371875,1676039998.3374,1676039998.5113,173.90012741,4,9,2,3,6,FALSE,9_FALSE_6_3
-1.44525739032775,6.87388925974351,1676039998.79391,1676039998.96784,173.92992973,5,9,2,3,6,FALSE,9_FALSE_6_3
-1.33745538117388,9.64981248137284,1676039999.11999,1676039999.27217,152.17995644,6,9,2,3,6,FALSE,9_FALSE_6_3
-1.42531845905719,-28.5054524486716,1676039999.85913,1676040000.03304,173.91014099,7,9,2,3,6,FALSE,9_FALSE_6_3
-2.33673197306838,9.01566279372204,1676040001.44609,1676040001.64169,195.60003281,8,9,2,3,6,FALSE,9_FALSE_6_3
-2.09330130451046,9.57698954561171,1676040002.68517,1676040002.88082,195.65010071,9,9,2,3,6,FALSE,9_FALSE_6_3
0.493860971513013,-25.8394798279279,1676040003.31575,1676040003.48951,173.7601757,10,9,2,3,6,FALSE,9_FALSE_6_3
-4.16613655657885,8.27708008875275,1676040007.64162,1676040007.98944,347.82004356,11,9,2,3,6,FALSE,9_FALSE_6_3
-3.91512088174306,9.25871149041654,1676040010.7938,1676040011.01119,217.38982201,12,9,2,3,6,FALSE,9_FALSE_6_3
-3.35157391839726,9.06435539157285,1676040011.03291,1676040011.7285,695.58978081,13,9,2,3,6,FALSE,9_FALSE_6_3
-2.29102903961011,8.00313177816685,1676040011.75027,1676040011.90243,152.16016769,14,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040012.25027,1676040012.44595,195.68014145,15,9,2,3,6,FALSE,9_FALSE_6_3
-3.19562913050753,9.06035350174225,1676040013.85894,1676040014.07632,217.38004684,16,9,2,3,6,FALSE,9_FALSE_6_3
-2.50875300175982,8.46719894433306,1676040014.09807,1676040014.40242,304.35013771,17,9,2,3,6,FALSE,9_FALSE_6_3
-2.02940696105679,9.29454045120539,1676040015.16327,1676040015.42419,260.92004776,18,9,2,3,6,FALSE,9_FALSE_6_3
-35.4163547819806,2.66170408517,1676040015.88064,1676040016.09802,217.38004684,19,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040016.14152,1676040016.33717,195.64986229,20,9,2,3,6,FALSE,9_FALSE_6_3
-5.043704498702,9.8222154819277,1676040016.68499,1676040016.90264,217.65017509,21,9,2,3,6,FALSE,9_FALSE_6_3
-4.26355084090699,6.62735506979531,1676040017.16321,1676040017.42407,260.85996628,22,9,2,3,6,FALSE,9_FALSE_6_3
-4.51080122809912,4.64431949295777,1676040017.48931,1676040017.68496,195.64986229,23,9,2,3,6,FALSE,9_FALSE_6_3
-4.78134917058944,5.72133554416971,1676040018.0328,1676040018.3154,282.59992599,24,9,2,3,6,FALSE,9_FALSE_6_3
-5.95962050605326,6.54911768287019,1676040018.55453,1676040018.75018,195.65010071,25,9,2,3,6,FALSE,9_FALSE_6_3
-5.51028551719435,5.61410546967205,1676040019.14147,1676040019.44579,304.32009697,26,9,2,3,6,FALSE,9_FALSE_6_3
-4.77911736355888,6.55380638749368,1676040019.46755,1676040019.98926,521.70991898,27,9,2,3,6,FALSE,9_FALSE_6_3
-4.49369127594202,6.59239270767159,1676040020.07623,1676040020.72859,652.35996246,28,9,2,3,6,FALSE,9_FALSE_6_3
-5.14269728175573,4.82121066290783,1676040020.75014,1676040020.92407,173.92992973,29,9,2,3,6,FALSE,9_FALSE_6_3
-5.40877888181448,4.76538547506891,1676040020.94582,1676040021.14142,195.59979439,30,9,2,3,6,FALSE,9_FALSE_6_3
-5.4141073893092,5.4119969947638,1676040021.55448,1676040021.81542,260.9398365,31,9,2,3,6,FALSE,9_FALSE_6_3
-4.36520071573564,4.85984234224452,1676040022.01098,1676040022.48924,478.26004028,32,9,2,3,6,FALSE,9_FALSE_6_3
-4.49347880409299,6.07180564233987,1676040022.77187,1676040022.92402,152.15015411,33,9,2,3,6,FALSE,9_FALSE_6_3
-7.54352413350608,6.99289259379219,1676040023.20663,1676040023.40228,195.65010071,34,9,2,3,6,FALSE,9_FALSE_6_3
-4.91821241762347,4.98043563417468,1676040024.81528,1676040024.96751,152.23002434,35,9,2,3,6,FALSE,9_FALSE_6_3
-3.70248192002514,6.55374909171417,1676040025.79355,1676040025.96745,173.89988899,36,9,2,3,6,FALSE,9_FALSE_6_3
-3.62507532190296,7.69341944200889,1676040025.98921,1676040026.2066,217.39006042,37,9,2,3,6,FALSE,9_FALSE_6_3
-4.03230507479219,6.08839277050891,1676040026.22831,1676040026.40227,173.95997047,38,9,2,3,6,FALSE,9_FALSE_6_3
-3.06526690817039,4.09258023483996,1676040027.57621,1676040027.837,260.78987122,39,9,2,3,6,FALSE,9_FALSE_6_3
-6.31158847960212,5.51156751026096,1676040029.83698,1676040029.98914,152.15992928,40,9,2,3,6,FALSE,9_FALSE_6_3
-8.14476694512319,3.80544243581015,1676040030.35884,1676040030.5326,173.75993729,41,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040030.88043,1676040031.05436,173.92992973,42,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040033.3804,1676040033.57615,195.74999809,43,9,2,3,6,FALSE,9_FALSE_6_3
-8.04052682359572,36.9001531333275,1676040034.46737,1676040034.72822,260.8499527,44,9,2,3,6,FALSE,9_FALSE_6_3
-2.30585636883696,8.68430493057517,1676040035.16297,1676040035.59776,434.78989601,45,9,2,3,6,FALSE,9_FALSE_6_3
-18.6149403975643,9.78317795748612,1676040035.92385,1676040036.1196,195.74999809,46,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040036.59774,1676040036.88037,282.62996674,47,9,2,3,6,FALSE,9_FALSE_6_3
-7.52019997659596,36.4411184464618,1676040037.51088,1676040037.72818,217.2999382,48,9,2,3,6,FALSE,9_FALSE_6_3
-12.1240161280863,-40.7992932672347,1676040040.01076,1676040040.16294,152.17995644,49,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040040.18464,1676040040.40205,217.41008759,50,9,2,3,6,FALSE,9_FALSE_6_3
-2.0849074728118,9.26683316716252,1676040040.66296,1676040040.88031,217.3500061,51,9,2,3,6,FALSE,9_FALSE_6_3
-2.5778517118526,8.10600635028259,1676040040.90203,1676040041.11943,217.40007401,52,9,2,3,6,FALSE,9_FALSE_6_3
-9.05101428968161,38.8478563127986,1676040041.66296,1676040041.81516,152.1999836,53,9,2,3,6,FALSE,9_FALSE_6_3
-4.10140378488497,5.29856090062449,1676040042.44552,1676040042.64137,195.8501339,54,9,2,3,6,FALSE,9_FALSE_6_3
-18.2782703971455,11.0031960892514,1676040042.90201,1676040043.07593,173.92015457,55,9,2,3,6,FALSE,9_FALSE_6_3
-10.0418493033945,39.5067068476173,1676040044.72807,1676040045.05418,326.10988617,56,9,2,3,6,FALSE,9_FALSE_6_3
-10.6902465415509,38.9563458713066,1676040045.0759,1676040045.24981,173.90990257,57,9,2,3,6,FALSE,9_FALSE_6_3
-3.05749760046842,7.49930707059651,1676040046.01066,1676040046.2498,239.14003372,58,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040047.01065,1676040047.22823,217.58008003,59,9,2,3,6,FALSE,9_FALSE_6_3
-4.59265779843014,39.2213102036649,1676040047.77149,1676040047.92375,152.25982666,60,9,2,3,6,FALSE,9_FALSE_6_3
-2.33435419821859,6.24902148837384,1676040048.51063,1676040048.77149,260.8602047,61,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040051.66276,1676040051.94536,282.59992599,62,9,2,3,6,FALSE,9_FALSE_6_3
-4.29731078743565,15.8206506955022,1676040054.01059,1676040054.33665,326.05981827,63,9,2,3,6,FALSE,9_FALSE_6_3
-2.00597435142117,8.9412846868027,1676040056.01054,1676040056.29314,282.59992599,64,9,2,3,6,FALSE,9_FALSE_6_3
-1.11033491118402,8.56388557226139,1676040056.31488,1676040056.55402,239.14003372,65,9,2,3,6,FALSE,9_FALSE_6_3
-1.2959274001828,8.33308671322679,1676040056.57573,1676040056.81489,239.15982246,66,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040057.61918,1676040057.77139,152.20999718,67,9,2,3,6,FALSE,9_FALSE_6_3
-3.25837660344128,7.71650391157471,1676040059.88017,1676040060.11935,239.17984962,68,9,2,3,6,FALSE,9_FALSE_6_3
-2.17776483280933,8.84713044138317,1676040060.59746,1676040061.1192,521.73995972,69,9,2,3,6,FALSE,9_FALSE_6_3
-2.46584857392444,9.52970030547359,1676040061.51046,1676040062.01046,500,70,9,2,3,6,FALSE,9_FALSE_6_3
-2.08613933207133,9.89194444559512,1676040062.03227,1676040062.18435,152.08005905,71,9,2,3,6,FALSE,9_FALSE_6_3
-2.34467221317923,10.15995261624,1676040062.2061,1676040062.51045,304.34989929,72,9,2,3,6,FALSE,9_FALSE_6_3
-1.8206306898077,8.74345054525539,1676040062.53217,1676040062.70611,173.93994331,73,9,2,3,6,FALSE,9_FALSE_6_3
-1.63545789239386,7.94860768198771,1676040062.72783,1676040063.03228,304.4500351,74,9,2,3,6,FALSE,9_FALSE_6_3
-1.5068172980469,8.08173277292349,1676040063.0539,1676040063.46696,413.05994987,75,9,2,3,6,FALSE,9_FALSE_6_3
-1.3992775272685,9.78617643661397,1676040063.48868,1676040063.6626,173.92015457,76,9,2,3,6,FALSE,9_FALSE_6_3
-1.55005137105717,9.76796210830677,1676040063.68432,1676040064.24954,565.22011757,77,9,2,3,6,FALSE,9_FALSE_6_3
-13.7629428024648,-38.3894327809145,1676040064.98866,1676040065.18432,195.65987587,78,9,2,3,6,FALSE,9_FALSE_6_3
-1.55276814593575,9.36117066813081,1676040065.64084,1676040066.293,652.15992928,79,9,2,3,6,FALSE,9_FALSE_6_3
-1.57206727433507,9.26161208925439,1676040066.40167,1676040066.70604,304.36992645,80,9,2,3,6,FALSE,9_FALSE_6_3
-3.08646634659023,9.36763076727091,1676040067.68428,1676040067.83646,152.18019485,81,9,2,3,6,FALSE,9_FALSE_6_3
5.42497210149937,-19.4358671644554,1676040068.27158,1676040068.57558,303.99990082,82,9,2,3,6,FALSE,9_FALSE_6_3
4.84985855266437,-18.615799834257,1676040068.59731,1676040068.77123,173.91991615,83,9,2,3,6,FALSE,9_FALSE_6_3
2.16406159220912,-16.0268327411789,1676040068.96687,1676040069.16255,195.67990303,84,9,2,3,6,FALSE,9_FALSE_6_3
0.717285863724278,-17.1936612909628,1676040069.27133,1676040069.4234,152.06980705,85,9,2,3,6,FALSE,9_FALSE_6_3
-3.95168991301729,9.59652740642567,1676040069.74945,1676040069.90164,152.18997002,86,9,2,3,6,FALSE,9_FALSE_6_3
-2.71567670947132,11.7059001770896,1676040069.9886,1676040070.16259,173.99001122,87,9,2,3,6,FALSE,9_FALSE_6_3
-1.77218392513053,9.14128060720561,1676040071.33641,1676040071.66251,326.09987259,88,9,2,3,6,FALSE,9_FALSE_6_3
-8.49874027095501,-39.3375633402969,1676040073.55377,1676040073.70593,152.15992928,89,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040074.44505,1676040074.59724,152.18997002,90,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040076.22768,1676040076.40157,173.89011383,91,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040076.94538,1676040077.11895,173.56991768,92,9,2,3,6,FALSE,9_FALSE_6_3
-2.51035728358619,10.1524110592616,1676040077.35806,1676040077.51029,152.23002434,93,9,2,3,6,FALSE,9_FALSE_6_3
-1.28594647539162,7.929334814154,1676040078.33631,1676040078.48848,152.17018127,94,9,2,3,6,FALSE,9_FALSE_6_3
-1.92244529000245,7.64635095913889,1676040078.51023,1676040078.66241,152.17995644,95,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040079.66241,1676040080.01019,347.77998924,96,9,2,3,6,FALSE,9_FALSE_6_3
-1.42231043063276,8.0603845858453,1676040080.53194,1676040080.74931,217.37003326,97,9,2,3,6,FALSE,9_FALSE_6_3
-1.09956330463556,8.63120811318926,1676040080.77109,1676040080.92323,152.13990211,98,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040081.03195,1676040081.18411,152.15992928,99,9,2,3,6,FALSE,9_FALSE_6_3
-3.73660155672518,8.72735043121221,1676040081.24933,1676040081.55369,304.35991287,100,9,2,3,6,FALSE,9_FALSE_6_3
-2.80726401302298,11.3000455229086,1676040081.79278,1676040081.94496,152.18019485,101,9,2,3,6,FALSE,9_FALSE_6_3
-2.07067356415847,6.85908239329506,1676040084.46666,1676040084.90143,434.76986885,102,9,2,3,6,FALSE,9_FALSE_6_3
-2.02112772091715,8.24774655950137,1676040085.07538,1676040085.40143,326.04980469,103,9,2,3,6,FALSE,9_FALSE_6_3
-2.25147585315291,15.1017541837538,1676040086.33621,1676040086.59709,260.87999344,104,9,2,3,6,FALSE,9_FALSE_6_3
-1.44498046072677,14.9429684801299,1676040086.61884,1676040086.81448,195.64008713,105,9,2,3,6,FALSE,9_FALSE_6_3
-1.17190877556742,7.92361478549928,1676040090.05361,1676040090.31442,260.80989838,106,9,2,3,6,FALSE,9_FALSE_6_3
-1.18503819025462,9.13993213077869,1676040090.33614,1676040090.70573,369.59004402,107,9,2,3,6,FALSE,9_FALSE_6_3
-1.40807242942375,8.30293194446906,1676040090.81448,1676040090.98833,173.84982109,108,9,2,3,6,FALSE,9_FALSE_6_3
-1.00909326878441,4.39700908161568,1676040091.96657,1676040092.2492,282.63020515,109,9,2,3,6,FALSE,9_FALSE_6_3
-1.24291734497729,7.34884262401721,1676040092.33632,1676040092.51004,173.72012138,110,9,2,3,6,FALSE,9_FALSE_6_3
-2.12397746486177,7.00878644302911,1676040094.20565,1676040094.4448,239.14980888,111,9,2,3,6,FALSE,9_FALSE_6_3
-0.92201084589696,7.99624196068041,1676040095.33611,1676040095.64043,304.31985855,112,9,2,3,6,FALSE,9_FALSE_6_3
-0.692867118693046,7.55264371174524,1676040095.66217,1676040096.14045,478.28006744,113,9,2,3,6,FALSE,9_FALSE_6_3
-6.99825929847324,36.6056050801473,1676040096.77086,1676040096.96653,195.67012787,114,9,2,3,6,FALSE,9_FALSE_6_3
-4.35104149622347,7.01477958156618,1676040097.44477,1676040097.59694,152.16994286,115,9,2,3,6,FALSE,9_FALSE_6_3
-3.13109975883092,3.91461954367232,1676040097.92304,1676040098.07522,152.18019485,116,9,2,3,6,FALSE,9_FALSE_6_3
-3.54857590695641,6.26525529256921,1676040098.55344,1676040098.74907,195.62983513,117,9,2,3,6,FALSE,9_FALSE_6_3
-2.6023743054842,6.27028863998765,1676040098.77082,1676040099.14039,369.57001686,118,9,2,3,6,FALSE,9_FALSE_6_3
-2.46474984309378,6.75746423577293,1676040099.16213,1676040099.31432,152.18997002,119,9,2,3,6,FALSE,9_FALSE_6_3
-3.61215512362276,9.61695335182208,1676040100.44471,1676040100.61861,173.89988899,120,9,2,3,6,FALSE,9_FALSE_6_3
2.04654794842779,9.61090864708346,1676040101.66208,1676040101.81429,152.20999718,121,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040101.96648,1676040102.16207,195.59001923,122,9,2,3,6,FALSE,9_FALSE_6_3
-2.75154386744651,9.38180192340381,1676040102.37947,1676040102.64035,260.87999344,123,9,2,3,6,FALSE,9_FALSE_6_3
-5.15455750811494,9.09279723689153,1676040102.87948,1676040103.18381,304.33011055,124,9,2,3,6,FALSE,9_FALSE_6_3
-1.63881095937287,8.65306308273353,1676040105.81439,1676040107.42289,1608.50000381,125,9,2,3,6,FALSE,9_FALSE_6_3
-8.21867850069507,35.4899894079515,1676040107.77071,1676040108.03159,260.87999344,126,9,2,3,6,FALSE,9_FALSE_6_3
-3.14936438010015,7.08310161553667,1676040108.53157,1676040108.85766,326.09009743,127,9,2,3,6,FALSE,9_FALSE_6_3
-2.91533203829601,6.74058653615065,1676040108.87939,1676040109.16205,282.66000748,128,9,2,3,6,FALSE,9_FALSE_6_3
-3.19633100380657,4.08676471321938,1676040109.55329,1676040109.72721,173.92015457,129,9,2,3,6,FALSE,9_FALSE_6_3
-2.07066565188416,6.68543962120635,1676040109.94459,1676040110.40139,456.79998398,130,9,2,3,6,FALSE,9_FALSE_6_3
-2.22071565899165,7.33115541688152,1676040110.42292,1676040110.662,239.07995224,131,9,2,3,6,FALSE,9_FALSE_6_3
-1.80208834316278,6.97757313474487,1676040110.98807,1676040111.29241,304.33988571,132,9,2,3,6,FALSE,9_FALSE_6_3
-1.50208047965984,7.6379300710999,1676040111.40109,1676040112.31413,913.04016113,133,9,2,3,6,FALSE,9_FALSE_6_3
-1.13382618078439,5.47942457795412,1676040113.50978,1676040113.66195,152.17018127,134,9,2,3,6,FALSE,9_FALSE_6_3
-0.890544481253204,6.44059183703515,1676040113.77064,1676040114.22715,456.51006699,135,9,2,3,6,FALSE,9_FALSE_6_3
-2.06078594963679,8.60203978676881,1676040114.77061,1676040115.16193,391.31999016,136,9,2,3,6,FALSE,9_FALSE_6_3
-1.08988031789785,9.15565548166567,1676040115.33591,1676040115.53147,195.55997849,137,9,2,3,6,FALSE,9_FALSE_6_3
-1.01467960728693,8.89617244554751,1676040115.55322,1676040115.72721,173.99001122,138,9,2,3,6,FALSE,9_FALSE_6_3
-0.805655054326622,7.95431577402171,1676040115.74887,1676040116.20541,456.54010773,139,9,2,3,6,FALSE,9_FALSE_6_3
-0.359549553314434,7.45128242227664,1676040116.22711,1676040117.09668,869.57001686,140,9,2,3,6,FALSE,9_FALSE_6_3
-0.282780136687956,7.88369766473888,1676040117.11844,1676040117.83581,717.37003326,141,9,2,3,6,FALSE,9_FALSE_6_3
-3.08544543997345,10.4248420734318,1676040119.03145,1676040119.40098,369.52996254,142,9,2,3,6,FALSE,9_FALSE_6_3
-2.05177618830836,7.99092777713057,1676040119.48795,1676040119.70533,217.37980843,143,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040119.94462,1676040120.09664,152.02021599,144,9,2,3,6,FALSE,9_FALSE_6_3
-1.3813439482809,6.13626339429209,1676040120.64014,1676040120.79229,152.1499157,145,9,2,3,6,FALSE,9_FALSE_6_3
-0.939847738256626,8.17957413117739,1676040121.11838,1676040121.59663,478.2500267,146,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040122.37927,1676040122.57488,195.60980797,147,9,2,3,6,FALSE,9_FALSE_6_3
